"Copyright © 2017 Independent Electricity System Operator, all rights reserved. This information is subject to the general terms of use set out in the IESO's website (www.ieso.ca).",,
Date,Hour (0-23),HOEP (C$/kWh)
1-Jan-04,0,0.0309
1-Jan-04,1,0.02713
1-Jan-04,2,0.02523
1-Jan-04,3,0.02429
1-Jan-04,4,0.02442
1-Jan-04,5,0.02623
1-Jan-04,6,0.02644
1-Jan-04,7,0.0207
1-Jan-04,8,0.01987
1-Jan-04,9,0.02064
1-Jan-04,10,0.02158
1-Jan-04,11,0.02694
1-Jan-04,12,0.02888
1-Jan-04,13,0.02301
1-Jan-04,14,0.02036
1-Jan-04,15,0.02096
1-Jan-04,16,0.02884
1-Jan-04,17,0.03425
1-Jan-04,18,0.03489
1-Jan-04,19,0.03281
1-Jan-04,20,0.03238
1-Jan-04,21,0.03291
1-Jan-04,22,0.03186
1-Jan-04,23,0.02833
2-Jan-04,0,0.02718
2-Jan-04,1,0.02576
2-Jan-04,2,0.02802
2-Jan-04,3,0.02591
2-Jan-04,4,0.02646
2-Jan-04,5,0.029
2-Jan-04,6,0.03045
2-Jan-04,7,0.03144
2-Jan-04,8,0.03246
2-Jan-04,9,0.03446
2-Jan-04,10,0.03152
2-Jan-04,11,0.0311
2-Jan-04,12,0.03088
2-Jan-04,13,0.03051
2-Jan-04,14,0.03028
2-Jan-04,15,0.03042
2-Jan-04,16,0.03089
2-Jan-04,17,0.05519
2-Jan-04,18,0.03682
2-Jan-04,19,0.05275
2-Jan-04,20,0.03252
2-Jan-04,21,0.036
2-Jan-04,22,0.0322
2-Jan-04,23,0.03077
3-Jan-04,0,0.03004
3-Jan-04,1,0.03004
3-Jan-04,2,0.02869
3-Jan-04,3,0.02629
3-Jan-04,4,0.02674
3-Jan-04,5,0.02594
3-Jan-04,6,0.02848
3-Jan-04,7,0.02998
3-Jan-04,8,0.02946
3-Jan-04,9,0.0291
3-Jan-04,10,0.02886
3-Jan-04,11,0.0292
3-Jan-04,12,0.0295
3-Jan-04,13,0.02913
3-Jan-04,14,0.02911
3-Jan-04,15,0.02894
3-Jan-04,16,0.03037
3-Jan-04,17,0.05086
3-Jan-04,18,0.03009
3-Jan-04,19,0.0295
3-Jan-04,20,0.02971
3-Jan-04,21,0.02967
3-Jan-04,22,0.0294
3-Jan-04,23,0.02861
4-Jan-04,0,0.02741
4-Jan-04,1,0.0262
4-Jan-04,2,0.02484
4-Jan-04,3,0.02477
4-Jan-04,4,0.02493
4-Jan-04,5,0.02467
4-Jan-04,6,0.02812
4-Jan-04,7,0.02731
4-Jan-04,8,0.02728
4-Jan-04,9,0.02909
4-Jan-04,10,0.02952
4-Jan-04,11,0.03073
4-Jan-04,12,0.03009
4-Jan-04,13,0.03012
4-Jan-04,14,0.0299
4-Jan-04,15,0.03052
4-Jan-04,16,0.03509
4-Jan-04,17,0.06489
4-Jan-04,18,0.05777
4-Jan-04,19,0.03354
