date,sunset time (CST)
2004-01-01,1650
2004-01-02,1651
2004-01-03,1652
2004-01-04,1653
2004-01-05,1654
2004-01-06,1654
2004-01-07,1655
2004-01-08,1656
2004-01-09,1657
2004-01-10,1658
2004-01-11,1659
2004-01-12,1700
2004-01-13,1701
2004-01-14,1702
2004-01-15,1703
2004-01-16,1704
2004-01-17,1705
2004-01-18,1707
2004-01-19,1708
2004-01-20,1709
2004-01-21,1710
2004-01-22,1711
2004-01-23,1712
2004-01-24,1713
2004-01-25,1714
2004-01-26,1715
2004-01-27,1717
2004-01-28,1718
2004-01-29,1719
2004-01-30,1720
2004-01-31,1721
2004-02-01,1722
2004-02-02,1723
2004-02-03,1725
2004-02-04,1726
2004-02-05,1727
2004-02-06,1728
2004-02-07,1729
2004-02-08,1730
2004-02-09,1732
2004-02-10,1733
2004-02-11,1734
2004-02-12,1735
2004-02-13,1736
2004-02-14,1737
2004-02-15,1738
2004-02-16,1739
2004-02-17,1741
2004-02-18,1742
2004-02-19,1743
2004-02-20,1744
2004-02-21,1745
2004-02-22,1746
2004-02-23,1747
2004-02-24,1748
2004-02-25,1749
2004-02-26,1750
2004-02-27,1751
2004-02-28,1752
2004-02-29,1753
2004-03-01,1754
2004-03-02,1756
2004-03-03,1757
2004-03-04,1758
2004-03-05,1759
2004-03-06,1800
2004-03-07,1801
2004-03-08,1802
2004-03-09,1803
2004-03-10,1804
2004-03-11,1805
2004-03-12,1806
2004-03-13,1807
2004-03-14,1808
2004-03-15,1809
2004-03-16,1810
2004-03-17,1810
2004-03-18,1811
2004-03-19,1812
2004-03-20,1813
2004-03-21,1814
2004-03-22,1815
2004-03-23,1816
2004-03-24,1817
2004-03-25,1818
2004-03-26,1819
2004-03-27,1820
2004-03-28,1821
2004-03-29,1822
2004-03-30,1823
2004-03-31,1824
2004-04-01,1825
2004-04-02,1826
2004-04-03,1827
2004-04-04,1828
2004-04-05,1829
2004-04-06,1830
2004-04-07,1831
2004-04-08,1832
2004-04-09,1832
2004-04-10,1833
2004-04-11,1834
2004-04-12,1835
2004-04-13,1836
2004-04-14,1837
2004-04-15,1838
2004-04-16,1839
2004-04-17,1840
2004-04-18,1841
2004-04-19,1842
2004-04-20,1843
2004-04-21,1844
2004-04-22,1845
2004-04-23,1846
2004-04-24,1847
2004-04-25,1848
2004-04-26,1849
2004-04-27,1850
2004-04-28,1851
2004-04-29,1852
2004-04-30,1853
2004-05-01,1853
2004-05-02,1854
2004-05-03,1855
2004-05-04,1856
2004-05-05,1857
2004-05-06,1858
2004-05-07,1859
2004-05-08,1900
2004-05-09,1901
2004-05-10,1902
2004-05-11,1903
2004-05-12,1904
2004-05-13,1905
2004-05-14,1906
2004-05-15,1906
2004-05-16,1907
2004-05-17,1908
2004-05-18,1909
2004-05-19,1910
2004-05-20,1911
2004-05-21,1912
2004-05-22,1912
2004-05-23,1913
2004-05-24,1914
2004-05-25,1915
2004-05-26,1916
2004-05-27,1916
2004-05-28,1917
2004-05-29,1918
2004-05-30,1919
2004-05-31,1919
2004-06-01,1920
2004-06-02,1921
2004-06-03,1921
2004-06-04,1922
2004-06-05,1923
2004-06-06,1923
2004-06-07,1924
2004-06-08,1924
2004-06-09,1925
2004-06-10,1925
2004-06-11,1926
2004-06-12,1926
2004-06-13,1927
2004-06-14,1927
2004-06-15,1927
2004-06-16,1928
2004-06-17,1928
2004-06-18,1928
2004-06-19,1929
2004-06-20,1929
2004-06-21,1929
2004-06-22,1929
2004-06-23,1929
2004-06-24,1929
2004-06-25,1929
2004-06-26,1930
2004-06-27,1930
2004-06-28,1930
2004-06-29,1930
2004-06-30,1929
2004-07-01,1929
2004-07-02,1929
2004-07-03,1929
2004-07-04,1929
2004-07-05,1929
2004-07-06,1928
2004-07-07,1928
2004-07-08,1928
2004-07-09,1927
2004-07-10,1927
2004-07-11,1927
2004-07-12,1926
2004-07-13,1926
2004-07-14,1925
2004-07-15,1925
2004-07-16,1924
2004-07-17,1923
2004-07-18,1923
2004-07-19,1922
2004-07-20,1921
2004-07-21,1921
2004-07-22,1920
2004-07-23,1919
2004-07-24,1918
2004-07-25,1918
2004-07-26,1917
2004-07-27,1916
2004-07-28,1915
2004-07-29,1914
2004-07-30,1913
2004-07-31,1912
2004-08-01,1911
2004-08-02,1910
2004-08-03,1909
2004-08-04,1908
2004-08-05,1907
2004-08-06,1906
2004-08-07,1904
2004-08-08,1903
2004-08-09,1902
2004-08-10,1901
2004-08-11,1900
2004-08-12,1858
2004-08-13,1857
2004-08-14,1856
2004-08-15,1855
2004-08-16,1853
2004-08-17,1852
2004-08-18,1851
2004-08-19,1849
2004-08-20,1848
2004-08-21,1847
2004-08-22,1845
2004-08-23,1844
2004-08-24,1842
2004-08-25,1841
2004-08-26,1839
2004-08-27,1838
2004-08-28,1836
2004-08-29,1835
2004-08-30,1833
2004-08-31,1832
2004-09-01,1830
2004-09-02,1829
2004-09-03,1827
2004-09-04,1826
2004-09-05,1824
2004-09-06,1823
2004-09-07,1821
2004-09-08,1820
2004-09-09,1818
2004-09-10,1816
2004-09-11,1815
2004-09-12,1813
2004-09-13,1812
2004-09-14,1810
2004-09-15,1808
2004-09-16,1807
2004-09-17,1805
2004-09-18,1804
2004-09-19,1802
2004-09-20,1800
2004-09-21,1759
2004-09-22,1757
2004-09-23,1756
2004-09-24,1754
2004-09-25,1753
2004-09-26,1751
2004-09-27,1749
2004-09-28,1748
2004-09-29,1746
2004-09-30,1745
2004-10-01,1743
2004-10-02,1742
2004-10-03,1740
2004-10-04,1738
2004-10-05,1737
2004-10-06,1735
2004-10-07,1734
2004-10-08,1732
2004-10-09,1731
2004-10-10,1729
2004-10-11,1728
2004-10-12,1726
2004-10-13,1725
2004-10-14,1724
2004-10-15,1722
2004-10-16,1721
2004-10-17,1719
2004-10-18,1718
2004-10-19,1717
2004-10-20,1715
2004-10-21,1714
2004-10-22,1713
2004-10-23,1711
2004-10-24,1710
2004-10-25,1709
2004-10-26,1707
2004-10-27,1706
2004-10-28,1705
2004-10-29,1704
2004-10-30,1703
2004-10-31,1702
2004-11-01,1700
2004-11-02,1659
2004-11-03,1658
2004-11-04,1657
2004-11-05,1656
2004-11-06,1655
2004-11-07,1654
2004-11-08,1653
2004-11-09,1652
2004-11-10,1651
2004-11-11,1651
2004-11-12,1650
2004-11-13,1649
2004-11-14,1648
2004-11-15,1647
2004-11-16,1647
2004-11-17,1646
2004-11-18,1645
2004-11-19,1645
2004-11-20,1644
2004-11-21,1644
2004-11-22,1643
2004-11-23,1643
2004-11-24,1642
2004-11-25,1642
2004-11-26,1641
2004-11-27,1641
2004-11-28,1641
2004-11-29,1640
2004-11-30,1640
2004-12-01,1640
2004-12-02,1640
2004-12-03,1640
2004-12-04,1640
2004-12-05,1640
2004-12-06,1640
2004-12-07,1640
2004-12-08,1640
2004-12-09,1640
2004-12-10,1640
2004-12-11,1640
2004-12-12,1640
2004-12-13,1640
2004-12-14,1641
2004-12-15,1641
2004-12-16,1641
2004-12-17,1642
2004-12-18,1642
2004-12-19,1642
2004-12-20,1643
2004-12-21,1643
2004-12-22,1644
2004-12-23,1644
2004-12-24,1645
2004-12-25,1646
2004-12-26,1646
2004-12-27,1647
2004-12-28,1648
2004-12-29,1648
2004-12-30,1649
2004-12-31,1650
2005-01-01,1651
2005-01-02,1652
2005-01-03,1652
2005-01-04,1653
2005-01-05,1654
2005-01-06,1655
2005-01-07,1656
2005-01-08,1657
2005-01-09,1658
2005-01-10,1659
2005-01-11,1700
2005-01-12,1701
2005-01-13,1702
2005-01-14,1703
2005-01-15,1704
2005-01-16,1705
2005-01-17,1706
2005-01-18,1707
2005-01-19,1708
2005-01-20,1710
2005-01-21,1711
2005-01-22,1712
2005-01-23,1713
2005-01-24,1714
2005-01-25,1715
2005-01-26,1716
2005-01-27,1717
2005-01-28,1719
2005-01-29,1720
2005-01-30,1721
2005-01-31,1722
2005-02-01,1723
2005-02-02,1724
2005-02-03,1726
2005-02-04,1727
2005-02-05,1728
2005-02-06,1729
2005-02-07,1730
2005-02-08,1731
2005-02-09,1732
2005-02-10,1734
2005-02-11,1735
2005-02-12,1736
2005-02-13,1737
2005-02-14,1738
2005-02-15,1739
2005-02-16,1740
2005-02-17,1741
2005-02-18,1742
2005-02-19,1744
2005-02-20,1745
2005-02-21,1746
2005-02-22,1747
2005-02-23,1748
2005-02-24,1749
2005-02-25,1750
2005-02-26,1751
2005-02-27,1752
2005-02-28,1753
2005-03-01,1754
2005-03-02,1755
2005-03-03,1756
2005-03-04,1757
2005-03-05,1758
2005-03-06,1759
2005-03-07,1800
2005-03-08,1801
2005-03-09,1802
2005-03-10,1803
2005-03-11,1804
2005-03-12,1805
2005-03-13,1806
2005-03-14,1807
2005-03-15,1808
2005-03-16,1809
2005-03-17,1810
2005-03-18,1811
2005-03-19,1812
2005-03-20,1813
2005-03-21,1814
2005-03-22,1815
2005-03-23,1816
2005-03-24,1817
2005-03-25,1818
2005-03-26,1819
2005-03-27,1820
2005-03-28,1821
2005-03-29,1822
2005-03-30,1823
2005-03-31,1824
2005-04-01,1825
2005-04-02,1826
2005-04-03,1827
2005-04-04,1827
2005-04-05,1828
2005-04-06,1829
2005-04-07,1830
2005-04-08,1831
2005-04-09,1832
2005-04-10,1833
2005-04-11,1834
2005-04-12,1835
2005-04-13,1836
2005-04-14,1837
2005-04-15,1838
2005-04-16,1839
2005-04-17,1840
2005-04-18,1841
2005-04-19,1842
2005-04-20,1843
2005-04-21,1844
2005-04-22,1845
2005-04-23,1846
2005-04-24,1847
2005-04-25,1848
2005-04-26,1848
2005-04-27,1849
2005-04-28,1850
2005-04-29,1851
2005-04-30,1852
2005-05-01,1853
2005-05-02,1854
2005-05-03,1855
2005-05-04,1856
2005-05-05,1857
2005-05-06,1858
2005-05-07,1859
2005-05-08,1900
2005-05-09,1901
2005-05-10,1902
2005-05-11,1903
2005-05-12,1904
2005-05-13,1904
2005-05-14,1905
2005-05-15,1906
2005-05-16,1907
2005-05-17,1908
2005-05-18,1909
2005-05-19,1910
2005-05-20,1911
2005-05-21,1911
2005-05-22,1912
2005-05-23,1913
2005-05-24,1914
2005-05-25,1915
2005-05-26,1915
2005-05-27,1916
2005-05-28,1917
2005-05-29,1918
2005-05-30,1918
2005-05-31,1919
2005-06-01,1920
2005-06-02,1920
2005-06-03,1921
2005-06-04,1922
2005-06-05,1922
2005-06-06,1923
2005-06-07,1924
2005-06-08,1924
2005-06-09,1925
2005-06-10,1925
2005-06-11,1926
2005-06-12,1926
2005-06-13,1926
2005-06-14,1927
2005-06-15,1927
2005-06-16,1928
2005-06-17,1928
2005-06-18,1928
2005-06-19,1928
2005-06-20,1929
2005-06-21,1929
2005-06-22,1929
2005-06-23,1929
2005-06-24,1929
2005-06-25,1929
2005-06-26,1930
2005-06-27,1930
2005-06-28,1930
2005-06-29,1930
2005-06-30,1929
2005-07-01,1929
2005-07-02,1929
2005-07-03,1929
2005-07-04,1929
2005-07-05,1929
2005-07-06,1928
2005-07-07,1928
2005-07-08,1928
2005-07-09,1927
2005-07-10,1927
2005-07-11,1927
2005-07-12,1926
2005-07-13,1926
2005-07-14,1925
2005-07-15,1925
2005-07-16,1924
2005-07-17,1924
2005-07-18,1923
2005-07-19,1922
2005-07-20,1922
2005-07-21,1921
2005-07-22,1920
2005-07-23,1919
2005-07-24,1919
2005-07-25,1918
2005-07-26,1917
2005-07-27,1916
2005-07-28,1915
2005-07-29,1914
2005-07-30,1913
2005-07-31,1912
2005-08-01,1911
2005-08-02,1910
2005-08-03,1909
2005-08-04,1908
2005-08-05,1907
2005-08-06,1906
2005-08-07,1905
2005-08-08,1904
2005-08-09,1902
2005-08-10,1901
2005-08-11,1900
2005-08-12,1859
2005-08-13,1858
2005-08-14,1856
2005-08-15,1855
2005-08-16,1854
2005-08-17,1852
2005-08-18,1851
2005-08-19,1850
2005-08-20,1848
2005-08-21,1847
2005-08-22,1845
2005-08-23,1844
2005-08-24,1843
2005-08-25,1841
2005-08-26,1840
2005-08-27,1838
2005-08-28,1837
2005-08-29,1835
2005-08-30,1834
2005-08-31,1832
2005-09-01,1831
2005-09-02,1829
2005-09-03,1828
2005-09-04,1826
2005-09-05,1825
2005-09-06,1823
2005-09-07,1821
2005-09-08,1820
2005-09-09,1818
2005-09-10,1817
2005-09-11,1815
2005-09-12,1814
2005-09-13,1812
2005-09-14,1810
2005-09-15,1809
2005-09-16,1807
2005-09-17,1806
2005-09-18,1804
2005-09-19,1802
2005-09-20,1801
2005-09-21,1759
2005-09-22,1758
2005-09-23,1756
2005-09-24,1754
2005-09-25,1753
2005-09-26,1751
2005-09-27,1750
2005-09-28,1748
2005-09-29,1747
2005-09-30,1745
2005-10-01,1743
2005-10-02,1742
2005-10-03,1740
2005-10-04,1739
2005-10-05,1737
2005-10-06,1736
2005-10-07,1734
2005-10-08,1733
2005-10-09,1731
2005-10-10,1730
2005-10-11,1728
2005-10-12,1727
2005-10-13,1725
2005-10-14,1724
2005-10-15,1722
2005-10-16,1721
2005-10-17,1720
2005-10-18,1718
2005-10-19,1717
2005-10-20,1716
2005-10-21,1714
2005-10-22,1713
2005-10-23,1712
2005-10-24,1710
2005-10-25,1709
2005-10-26,1708
2005-10-27,1707
2005-10-28,1705
2005-10-29,1704
2005-10-30,1703
2005-10-31,1702
2005-11-01,1701
2005-11-02,1700
2005-11-03,1659
2005-11-04,1657
2005-11-05,1656
2005-11-06,1655
2005-11-07,1654
2005-11-08,1654
2005-11-09,1653
2005-11-10,1652
2005-11-11,1651
2005-11-12,1650
2005-11-13,1649
2005-11-14,1648
2005-11-15,1648
2005-11-16,1647
2005-11-17,1646
2005-11-18,1646
2005-11-19,1645
2005-11-20,1644
2005-11-21,1644
2005-11-22,1643
2005-11-23,1643
2005-11-24,1642
2005-11-25,1642
2005-11-26,1641
2005-11-27,1641
2005-11-28,1641
2005-11-29,1641
2005-11-30,1640
2005-12-01,1640
2005-12-02,1640
2005-12-03,1640
2005-12-04,1640
2005-12-05,1640
2005-12-06,1640
2005-12-07,1640
2005-12-08,1640
2005-12-09,1640
2005-12-10,1640
2005-12-11,1640
2005-12-12,1640
2005-12-13,1640
2005-12-14,1641
2005-12-15,1641
2005-12-16,1641
2005-12-17,1642
2005-12-18,1642
2005-12-19,1642
2005-12-20,1643
2005-12-21,1643
2005-12-22,1644
2005-12-23,1644
2005-12-24,1645
2005-12-25,1646
2005-12-26,1646
2005-12-27,1647
2005-12-28,1648
2005-12-29,1648
2005-12-30,1649
2005-12-31,1650
2006-01-01,1651
2006-01-02,1651
2006-01-03,1652
2006-01-04,1653
2006-01-05,1654
2006-01-06,1655
2006-01-07,1656
2006-01-08,1657
2006-01-09,1658
2006-01-10,1659
2006-01-11,1700
2006-01-12,1701
2006-01-13,1702
2006-01-14,1703
2006-01-15,1704
2006-01-16,1705
2006-01-17,1706
2006-01-18,1707
2006-01-19,1708
2006-01-20,1709
2006-01-21,1710
2006-01-22,1712
2006-01-23,1713
2006-01-24,1714
2006-01-25,1715
2006-01-26,1716
2006-01-27,1717
2006-01-28,1718
2006-01-29,1719
2006-01-30,1721
2006-01-31,1722
2006-02-01,1723
2006-02-02,1724
2006-02-03,1725
2006-02-04,1726
2006-02-05,1728
2006-02-06,1729
2006-02-07,1730
2006-02-08,1731
2006-02-09,1732
2006-02-10,1733
2006-02-11,1734
2006-02-12,1736
2006-02-13,1737
2006-02-14,1738
2006-02-15,1739
2006-02-16,1740
2006-02-17,1741
2006-02-18,1742
2006-02-19,1743
2006-02-20,1744
2006-02-21,1745
2006-02-22,1747
2006-02-23,1748
2006-02-24,1749
2006-02-25,1750
2006-02-26,1751
2006-02-27,1752
2006-02-28,1753
2006-03-01,1754
2006-03-02,1755
2006-03-03,1756
2006-03-04,1757
2006-03-05,1758
2006-03-06,1759
2006-03-07,1800
2006-03-08,1801
2006-03-09,1802
2006-03-10,1803
2006-03-11,1804
2006-03-12,1805
2006-03-13,1806
2006-03-14,1807
2006-03-15,1808
2006-03-16,1809
2006-03-17,1810
2006-03-18,1811
2006-03-19,1812
2006-03-20,1813
2006-03-21,1814
2006-03-22,1815
2006-03-23,1816
2006-03-24,1817
2006-03-25,1818
2006-03-26,1819
2006-03-27,1820
2006-03-28,1821
2006-03-29,1822
2006-03-30,1823
2006-03-31,1823
2006-04-01,1824
2006-04-02,1825
2006-04-03,1826
2006-04-04,1827
2006-04-05,1828
2006-04-06,1829
2006-04-07,1830
2006-04-08,1831
